issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
175,NH.gov,https://nh.gov/online-services/residents/public-safety,https://www.nh.gov/online-services/residents/public-safety,403,false,true,5562,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/housing-assistance,https://www.nh.gov/online-services/residents/housing-assistance,403,false,true,5598,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/legal-assistance,https://www.nh.gov/online-services/residents/legal-assistance,403,false,true,5658,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/social-services,https://www.nh.gov/online-services/residents/social-services,403,false,true,5544,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/veterans-services,https://www.nh.gov/online-services/residents/veterans-services,403,false,true,5561,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-spider,https://www.nh.gov/almanac/state-spider,403,false,true,5607,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-raptor,https://www.nh.gov/almanac/state-raptor,403,false,true,5517,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-tartan,https://www.nh.gov/almanac/state-tartan,403,false,true,5536,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-saltwater-game-fish,https://www.nh.gov/almanac/state-saltwater-game-fish,403,false,true,5524,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-fruit,https://www.nh.gov/almanac/state-fruit,403,false,true,5581,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-marsupial,https://www.nh.gov/almanac/state-marsupial,403,false,true,5530,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-beverage,https://www.nh.gov/almanac/state-beverage,403,false,true,5585,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
