issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/subscribe-via-email/,https://government.se/subscribe-via-email/,403,false,false,34744,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/sweden-in-the-eu/,https://government.se/sweden-in-the-eu/,403,false,false,34691,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/swedish-treaty-series/,https://government.se/swedish-treaty-series/,403,false,false,34656,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/the-government-offices/,https://government.se/the-government-offices/,403,false,false,34724,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/webcasts/,https://government.se/webcasts/,403,false,false,34914,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-for-foreign-affairs/,https://government.se/government-of-sweden/ministry-for-foreign-affairs/,403,false,false,34643,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-climate-and-enterprise/,https://government.se/government-of-sweden/ministry-of-climate-and-enterprise/,403,false,false,35497,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,161,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-culture/,https://government.se/government-of-sweden/ministry-of-culture/,403,false,false,34618,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-defence/,https://government.se/government-of-sweden/ministry-of-defence/,403,false,false,34936,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-education-and-research/,https://government.se/government-of-sweden/ministry-of-education-and-research/,403,false,false,34661,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
